human,humanLabel,parliamentary_term,parliamentary_termLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,funkcja,funkcjaLabel,partia_polityczna,partia_politycznaLabel
http://www.wikidata.org/entity/Q2545255,Walter Kühlthau,,,http://www.wikidata.org/entity/Q6581097,male,1906-08-16T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545255,Walter Kühlthau,,,http://www.wikidata.org/entity/Q6581097,male,1906-08-16T00:00:00Z,http://www.wikidata.org/entity/Q17781726,member of the Landtag of North Rhine-Westphalia,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545296,Walter Langebeck,,,http://www.wikidata.org/entity/Q6581097,male,1910-06-09T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545296,Walter Langebeck,,,http://www.wikidata.org/entity/Q6581097,male,1910-06-09T00:00:00Z,http://www.wikidata.org/entity/Q17586301,Member of the Landtag of Bavaria,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545394,Walter Link,,,http://www.wikidata.org/entity/Q6581097,male,1937-07-21T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545394,Walter Link,,,http://www.wikidata.org/entity/Q6581097,male,1937-07-21T00:00:00Z,http://www.wikidata.org/entity/Q17521638,Member of the Landtag of Lower Saxony,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545437,Walter Löhr,,,http://www.wikidata.org/entity/Q6581097,male,1911-09-27T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545437,Walter Löhr,,,http://www.wikidata.org/entity/Q6581097,male,1911-09-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545437,Walter Löhr,,,http://www.wikidata.org/entity/Q6581097,male,1911-09-27T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545437,Walter Löhr,,,http://www.wikidata.org/entity/Q6581097,male,1911-09-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545769,Walter Peters,,,http://www.wikidata.org/entity/Q6581097,male,1912-08-14T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2545769,Walter Peters,,,http://www.wikidata.org/entity/Q6581097,male,1912-08-14T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2545777,Walter Picard,,,http://www.wikidata.org/entity/Q6581097,male,1923-12-10T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545777,Walter Picard,,,http://www.wikidata.org/entity/Q6581097,male,1923-12-10T00:00:00Z,http://www.wikidata.org/entity/Q17519166,Member of the Hessian Parliament,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2545808,Walter Polkehn,,,http://www.wikidata.org/entity/Q6581097,male,1921-07-24T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545956,Walter Rieger,,,http://www.wikidata.org/entity/Q6581097,male,1908-12-05T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2546060,Walter Sauermilch,,,http://www.wikidata.org/entity/Q6581097,male,1935-02-06T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
http://www.wikidata.org/entity/Q2546152,Walter Schmidt,,,http://www.wikidata.org/entity/Q6581097,male,1907-02-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546152,Walter Schmidt,,,http://www.wikidata.org/entity/Q6581097,male,1907-02-27T00:00:00Z,http://www.wikidata.org/entity/Q17521638,Member of the Landtag of Lower Saxony,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546267,Walter Schwenninger,,,http://www.wikidata.org/entity/Q6581097,male,1942-08-04T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
http://www.wikidata.org/entity/Q2546277,Walter Schöler,,,http://www.wikidata.org/entity/Q6581097,male,1947-03-10T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546303,Walter Seuffert,,,http://www.wikidata.org/entity/Q6581097,male,1907-02-04T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546303,Walter Seuffert,,,http://www.wikidata.org/entity/Q6581097,male,1907-02-04T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546303,Walter Seuffert,,,http://www.wikidata.org/entity/Q6581097,male,1907-02-04T00:00:00Z,http://www.wikidata.org/entity/Q43575168,judge at the Federal Constitutional Court of Germany,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546457,Walter Suck,,,http://www.wikidata.org/entity/Q6581097,male,1912-09-21T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546457,Walter Suck,,,http://www.wikidata.org/entity/Q6581097,male,1912-09-21T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2546842,Walter Zawadil,,,http://www.wikidata.org/entity/Q6581097,male,1909-08-31T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2547198,Walther Hasemann,,,http://www.wikidata.org/entity/Q6581097,male,1900-10-18T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q7320,NSDAP
http://www.wikidata.org/entity/Q2547198,Walther Hasemann,,,http://www.wikidata.org/entity/Q6581097,male,1900-10-18T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2547208,Walther Hellige,,,http://www.wikidata.org/entity/Q6581097,male,1910-03-22T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2547208,Walther Hellige,,,http://www.wikidata.org/entity/Q6581097,male,1910-03-22T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2547289,Walther Kühn,,,http://www.wikidata.org/entity/Q6581097,male,1892-12-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q7320,NSDAP
http://www.wikidata.org/entity/Q2547289,Walther Kühn,,,http://www.wikidata.org/entity/Q6581097,male,1892-12-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2547289,Walther Kühn,,,http://www.wikidata.org/entity/Q6581097,male,1892-12-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q316533,German People's Party
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q7320,NSDAP
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q17521638,Member of the Landtag of Lower Saxony,http://www.wikidata.org/entity/Q7320,NSDAP
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q19360355,Member of the Hamburg Bürgerschaft,http://www.wikidata.org/entity/Q7320,NSDAP
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q17521638,Member of the Landtag of Lower Saxony,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2547309,Walther Leisler Kiep,,,http://www.wikidata.org/entity/Q6581097,male,1926-01-05T00:00:00Z,http://www.wikidata.org/entity/Q19360355,Member of the Hamburg Bürgerschaft,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
